repoId,issueId,I_url,I_createdAt,I_authorName,I_authorAssociation,I_authorGender,I_state,I_closedAt,I_numberOfComments,I_numberOfAssignees,I_numberOfParticipants,I_assignmentActorName,I_firstAssigneeName,I_timeUntilFirstComment,I_meanCommentInterval,I_timeUntilFirstAssignment,I_timeUntilClosed,I_age,I_labeledAsSecurityIssue,I_status,I_clear,I_info,I_pullRequest,I_roleOfAuthorInPR,I_numberOfCommentsInPR,I_numberOfParticipantsInPR,I_prDiscussionChallenge
MDEwOlJlcG9zaXRvcnk2MTU0MDU4,MDU6SXNzdWU4ODM3NjA0Mg==,https://github.com/researchstudio-sat/webofneeds/issues/299,6/15/2015 9:54:32, ,CONTRIBUTOR,unknown,CLOSED,7/11/2017 13:55:44,2,1,2, , ,.00111111111111111,757.165972222222,0,757.167361111111,757.167361111111,1,ACCEPTED,No,None,No, , , , 
MDEwOlJlcG9zaXRvcnk2MzA5NjgyMg==,MDU6SXNzdWUyNzY0NzIyOTA=,https://github.com/pravega/pravega/issues/2117,11/23/2017 21:09:47, ,CONTRIBUTOR,unknown,CLOSED,3/10/2018 1:48:15,1,1,1, , ,106.19337962963, ,0,106.193055555556,106.193055555556,1,ACCEPTED,Yes,Documentation,Multiple Reviews,Creator,2,1,Low
MDEwOlJlcG9zaXRvcnk2MzA5NjgyMg==,MDU6SXNzdWUzMDgxNDUyNTI=,https://github.com/pravega/pravega/issues/2391,3/23/2018 19:00:27, ,CONTRIBUTOR,unknown,CLOSED,8/15/2018 23:01:18,6,1,3, , ,3.17077546296296,25.1616666666667,0,145.166666666667,145.166666666667,1,ACCEPTED,Yes,Documentation,Multiple Reviews,Creator,49,5,High
MDEwOlJlcG9zaXRvcnk2MzA5NjgyMg==,MDU6SXNzdWUzMTQ4NTk0MDI=,https://github.com/pravega/pravega/issues/2477,4/17/2018 0:04:13,Eron Wright,CONTRIBUTOR,male,CLOSED,9/30/2019 6:32:56,4,0,3, , ,15.6613888888889,171.869212962963, ,531.269444444444,531.269444444444,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk2MzA5NjgyMg==,MDU6SXNzdWUzNDE2ODM3MDY=,https://github.com/pravega/pravega/issues/2765,7/16/2018 21:21:56, ,CONTRIBUTOR,unknown,CLOSED,10/24/2018 20:12:56,7,0,1, , ,11.6233101851852,14.7210648148148, ,99.9520833333333,99.9520833333333,1,ACCEPTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk2MzA5NjgyMg==,MDU6SXNzdWU0MDA2MjY1NzA=,https://github.com/pravega/pravega/issues/3296,1/18/2019 8:48:38,Ravi Sharda,CONTRIBUTOR,male,CLOSED,5/31/2019 15:30:21,3,1,2,Flavio Junqueira,Ravi Sharda,21.0296527777778,44.3006944444444,19.1277777777778,133.278472222222,133.278472222222,1,ACCEPTED,Yes,Reproducability,Multiple Reviews,Creator,6,3,Low
MDEwOlJlcG9zaXRvcnk2MzA5NjgyMg==,MDU6SXNzdWU0NDM4MTIwNzg=,https://github.com/pravega/pravega/issues/3779,5/14/2019 9:37:38,Prajakta Belgundi,CONTRIBUTOR,female,CLOSED,10/17/2019 11:35:53,1,1,1,Ravi Sharda,Ravi Sharda,156.023159722222, ,155.879166666667,156.081944444444,156.081944444444,1,ACCEPTED,Yes,None,Multiple Reviews,Creator,97,4,High
MDEwOlJlcG9zaXRvcnk2MzA5NjgyMg==,MDU6SXNzdWU0NDcxNjkyOTI=,https://github.com/pravega/pravega/issues/3822,5/22/2019 14:26:02, ,NONE,unknown,CLOSED,5/24/2019 9:01:42,3,1,2,Sumit Basu Mallick,Ravi Sharda,.0351273148148148,.869444444444444,.000694444444444444,1.77430555555556,1.77430555555556,1,REJECTED,No,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk2MzU4MTg4,MDU6SXNzdWUzMTE5MzY2Mjc=,https://github.com/apache/druid/issues/5588,4/6/2018 11:11:17,Piotrek Guzik,NONE,male,CLOSED,4/12/2018 21:02:21,3,0,3, , ,.166527777777778,.0913194444444445, ,6.41041666666667,6.41041666666667,1,ACCEPTED,Yes,None,Multiple Reviews,No,7,3,Low
MDEwOlJlcG9zaXRvcnk2MzU4MTg4,MDU6SXNzdWU0NTMwMzcyMDM=,https://github.com/apache/druid/issues/7842,6/6/2019 13:40:36,Roman Leventov,MEMBER,male,CLOSED,12/19/2019 22:53:37,7,0,3, , ,1.26299768518519,28.0965277777778, ,196.384027777778,196.384027777778,1,ACCEPTED,No,None,Multiple Reviews,No,5,2,Low
MDEwOlJlcG9zaXRvcnk2NjUwNTM5,MDU6SXNzdWUzMDkyNDE0NzY=,https://github.com/neo4j/neo4j/issues/11406,3/28/2018 6:51:05,Koen,NONE,male,CLOSED,11/19/2018 7:11:22,1,0,1, , ,236.014085648148, , ,236.013888888889,236.013888888889,1,REJECTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk2NzE4MjU=,MDU6SXNzdWUzMTU2NjkxMQ==,https://github.com/Graylog2/graylog2-server/issues/520,4/15/2014 16:05:01, ,NONE,unknown,CLOSED,2/7/2020 10:00:14,14,0,10, , ,.238703703703704,146.95422008547, ,2123.74652777778,2123.74652777778,1,ACCEPTED,Yes,None,Multiple Reviews,No,2,2,Low
MDEwOlJlcG9zaXRvcnk2NzE4MjU=,MDU6SXNzdWU1Mzc0OTgwNQ==,https://github.com/Graylog2/graylog2-server/issues/850,1/8/2015 13:24:09,Bernd Ahlers,MEMBER,male,CLOSED,1/11/2015 16:22:57,1,0,1, , ,3.12416666666667, , ,3.12361111111111,3.12361111111111,1,ACCEPTED,Yes,None,No Review,Creator,5,1,Low
MDEwOlJlcG9zaXRvcnk2NzE4MjU=,MDU6SXNzdWUxMjU0MDk3MDE=,https://github.com/Graylog2/graylog2-server/issues/1675,1/7/2016 14:59:28, ,NONE,unknown,CLOSED,5/2/2016 9:41:04,2,0,2, , ,34.9379513888889,80.8402777777778, ,115.778472222222,115.778472222222,1,REJECTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk2NzE4MjU=,MDU6SXNzdWUxNDc2OTI2MTM=,https://github.com/Graylog2/graylog2-server/issues/2054,4/12/2016 9:39:23,Dennis Oelkers,MEMBER,male,CLOSED,4/20/2016 13:13:56,1,1,1,Jochen Schalanda,Jochen Schalanda,5.99447916666667, ,6.02430555555556,8.14861111111111,8.14861111111111,1,ACCEPTED,Yes,Reproducability,No Review,No,1,1,Low
MDEwOlJlcG9zaXRvcnk2NzE4MjU=,MDU6SXNzdWUzMjU3OTAxNTk=,https://github.com/Graylog2/graylog2-server/issues/4804,5/23/2018 16:48:34,Lennart Koopmann,MEMBER,male,CLOSED,5/24/2018 15:02:31,1,1,1,Jochen Schalanda,Jochen Schalanda,.618784722222222, ,.61875,.925694444444444,.925694444444444,1,ACCEPTED,Yes,None,Single Review,No,0,0,Low
MDEwOlJlcG9zaXRvcnk2NzE4MjU=,MDU6SXNzdWUzMzUwNDg3ODM=,https://github.com/Graylog2/graylog2-server/issues/4860,6/22/2018 23:57:13, ,NONE,unknown,CLOSED,6/28/2018 7:44:55,3,1,3,Bernd Ahlers,Bernd Ahlers,2.42251157407407,1.45208333333333,5.32430555555556,5.32430555555556,5.32430555555556,1,REJECTED,No,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk2NzE4MjU=,MDU6SXNzdWUzMzUyOTM2NjY=,https://github.com/Graylog2/graylog2-server/issues/4864,6/25/2018 7:43:17,natlibfi-arlehiko,NONE,unknown,CLOSED,6/28/2018 13:43:22,1,0,1, , ,3.25005787037037, , ,3.25,3.25,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk2NzE4MjU=,MDU6SXNzdWUzOTE5NTE2MDk=,https://github.com/Graylog2/graylog2-server/issues/5420,12/18/2018 0:52:45, ,NONE,unknown,OPEN, ,5,0,3, , ,35.7319328703704,69.6723958333333, , ,462.963194444444,1,PENDING,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk2NzQxMjQzMA==,MDU6SXNzdWU0NjE1MTA4MTY=,https://github.com/TIBCOSoftware/jasperreports/issues/68,6/27/2019 12:50:59, ,CONTRIBUTOR,unknown,CLOSED,7/23/2019 14:38:37,1,0,1, , ,26.0747453703704, , ,26.0743055555556,26.0743055555556,1,REJECTED,Yes,CVE,No, , , , 
MDEwOlJlcG9zaXRvcnk2NzQxMjQzMA==,MDU6SXNzdWU0NjE1MTA5MjM=,https://github.com/TIBCOSoftware/jasperreports/issues/74,6/27/2019 12:51:12, ,CONTRIBUTOR,unknown,CLOSED,7/8/2019 8:06:38,1,0,1, , ,10.8023842592593, , ,10.8020833333333,10.8020833333333,1,REJECTED,Yes,CVE,No, , , , 
MDEwOlJlcG9zaXRvcnk2NzQxMjQzMA==,MDU6SXNzdWU0NjE1MTA5ODQ=,https://github.com/TIBCOSoftware/jasperreports/issues/77,6/27/2019 12:51:18, ,CONTRIBUTOR,unknown,CLOSED,7/8/2019 8:04:19,1,0,1, , ,10.8007060185185, , ,10.8006944444444,10.8006944444444,1,REJECTED,Yes,CVE,No, , , , 
MDEwOlJlcG9zaXRvcnk2ODQzODI=,MDU6SXNzdWUxMDA0MzgxMTY=,https://github.com/bigbluebutton/bigbluebutton/issues/844,8/12/2015 0:02:49,BigBlueButton Issue Importer,NONE,unknown,CLOSED,5/6/2018 12:41:29,6,0,2,BigBlueButton Issue Importer, ,0,199.705277777778,0,998.526388888889,998.526388888889,1,REJECTED,No,None,No, , , , 
MDEwOlJlcG9zaXRvcnk2ODQzODI=,MDU6SXNzdWUxMDA0ODc3NTQ=,https://github.com/bigbluebutton/bigbluebutton/issues/1887,8/12/2015 7:51:36,BigBlueButton Issue Importer,NONE,unknown,CLOSED,8/12/2015 7:51:43,12,0,1,BigBlueButton Issue Importer, ,0,0,0,0,0,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk2ODQzODI=,MDU6SXNzdWUxMDc0MTU4MzM=,https://github.com/bigbluebutton/bigbluebutton/issues/2792,9/20/2015 20:25:55,Fred Dixon,MEMBER,male,CLOSED,9/20/2015 20:26:49,1,0,1, , ,.000625, , ,0,0,1,REJECTED,Yes,Documentation,No Review,No,0,1,Low
MDEwOlJlcG9zaXRvcnk2OTQwMDMyNg==,MDU6SXNzdWUzMDU1ODE5Nzc=,https://github.com/confluentinc/ksql/issues/948,3/15/2018 14:44:03,Andy Coates,MEMBER,male,CLOSED,6/5/2018 15:20:57,2,1,2,Andy Coates,Andy Coates,.170578703703704,81.8548611111111,.000694444444444444,82.025,82.025,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk2OTQwMDMyNg==,MDU6SXNzdWUzNTc1MDgyODU=,https://github.com/confluentinc/ksql/issues/1834,9/6/2018 6:07:05,Andy Bryant,CONTRIBUTOR,male,OPEN, ,8,0,4, , ,.0368287037037037,25.240873015873, , ,565.744444444444,1,PENDING,Yes,None,Multiple Reviews,No,44,3,High
MDEwOlJlcG9zaXRvcnk2OTQwMDMyNg==,MDU6SXNzdWU1MTg0Mzk0ODA=,https://github.com/confluentinc/ksql/issues/3772,11/6/2019 12:26:38,Andy Coates,MEMBER,male,CLOSED,11/15/2019 17:57:10,2,0,1, , ,8.9468287037037,.0847222222222222, ,9.22916666666667,9.22916666666667,1,ACCEPTED,Yes,Documentation,Multiple Reviews,Creator,6,2,Low
MDEwOlJlcG9zaXRvcnk2OTY2NjE5,MDU6SXNzdWUxNzM0NDU4NQ==,https://github.com/hawtio/hawtio/issues/426,7/29/2013 15:21:03,Stan Lewis,MEMBER,male,CLOSED,7/29/2013 15:50:42,2,1,1, ,Stan Lewis,.00552083333333333,.0298611111111111,0,.0201388888888889,.0201388888888889,1,ACCEPTED,No,None,No, , , , 
MDEwOlJlcG9zaXRvcnk2OTY2NjE5,MDU6SXNzdWUxNzg3Njk2MQ==,https://github.com/hawtio/hawtio/issues/465,8/9/2013 18:02:54,Stan Lewis,MEMBER,male,CLOSED,11/14/2014 16:19:12,7,1,3,Stan Lewis,Stan Lewis,229.620856481481,38.7175925925926,283.004861111111,461.927777777778,461.927777777778,1,ACCEPTED,No,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk2OTY2NjE5,MDU6SXNzdWUyNDYxNTg2MA==,https://github.com/hawtio/hawtio/issues/878,12/20/2013 10:55:01,Claus Ibsen,MEMBER,male,CLOSED,12/20/2013 12:59:46,6,1,1, ,Claus Ibsen,.000324074074074074,.0169444444444444,0,.0861111111111111,.0861111111111111,1,ACCEPTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk2OTY2NjE5,MDU6SXNzdWU1NDg3MjQ0Ng==,https://github.com/hawtio/hawtio/issues/1873,1/20/2015 11:32:06, ,CONTRIBUTOR,unknown,CLOSED,1/20/2015 15:00:11,6,0,2, , ,.0207291666666667,.0243055555555556, ,.144444444444444,.144444444444444,1,ACCEPTED,No,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk2OTY2NjE5,MDU6SXNzdWUxNTg2MjE0Njc=,https://github.com/hawtio/hawtio/issues/2143,6/6/2016 8:07:10,Andreas Gies,CONTRIBUTOR,male,OPEN, ,3,0,2, , ,.224386574074074,1.78472222222222, , ,1387.66111111111,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk3Mjc2OTU0,MDU6SXNzdWUzOTY1OTA0NDI=,https://github.com/Alluxio/alluxio/issues/8236,1/7/2019 18:03:20,Bin Fan,COLLABORATOR,male,OPEN, ,2,1,2,Bin Fan,Gene Pang,.0071875,.376388888888889,0, ,442.247222222222,1,PENDING,Yes,Documentation,Single Review,No,12,2,Medium
MDEwOlJlcG9zaXRvcnk3MTgzNTM4MQ==,MDU6SXNzdWU0NDYzNjI0ODM=,https://github.com/elastic/stack-docs/issues/338,5/21/2019 0:15:11,Josh Bressers,NONE,male,CLOSED,5/21/2019 1:29:55,1,0,1, , ,.0518981481481482, , ,.0513888888888889,.0513888888888889,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk3NTk2MDI4Nw==,MDU6SXNzdWUzODkyMTY4MTU=,https://github.com/plan-player-analytics/Plan/issues/840,12/10/2018 9:44:47,Risto Lahtela,COLLABORATOR,male,CLOSED,10/5/2019 7:35:04,1,0,1, , ,5.94646990740741, , ,298.909722222222,298.909722222222,1,ACCEPTED,Yes,Reproducability,No, , , , 
MDEwOlJlcG9zaXRvcnk3NzM4NTYwNw==,MDU6SXNzdWUyMDI1ODQ4MTQ=,https://github.com/JanusGraph/janusgraph/issues/61,1/23/2017 16:37:29,Jason Plurad,MEMBER,male,CLOSED,1/23/2017 17:38:08,1,0,1, , ,.0421180555555556, , ,.0416666666666667,.0416666666666667,1,REJECTED,No,Documentation,Single Review,Creator,1,1,Low
MDEwOlJlcG9zaXRvcnk3OTUyOTc3OQ==,MDU6SXNzdWU0MTIxOTY4OTI=,https://github.com/personium/personium-core/issues/342,2/20/2019 1:07:32,Wataru Sawami,CONTRIBUTOR,male,CLOSED,2/27/2019 6:19:54,1,0,1,Wataru Sawami, ,7.2169212962963, ,0,7.21666666666667,7.21666666666667,1,ACCEPTED,No,None,No Review,Creator,0,0,Low
MDEwOlJlcG9zaXRvcnk4MDEwNjI2,MDU6SXNzdWUyMjcxNzQxNg==,https://github.com/molgenis/molgenis/issues/902,11/15/2013 7:18:43,Dennis Hendriksen,CONTRIBUTOR,male,CLOSED,5/14/2014 12:07:51,1,0,1, , ,178.107685185185, , ,180.200694444444,180.200694444444,1,REJECTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk4MDEwNjI2,MDU6SXNzdWUyOTgzMDkzNA==,https://github.com/molgenis/molgenis/issues/1335,3/20/2014 15:54:15, ,CONTRIBUTOR,unknown,CLOSED,6/23/2014 13:02:49,2,0,1, , ,4.70068287037037,90.1798611111111, ,94.8805555555556,94.8805555555556,1,REJECTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk4MDEwNjI2,MDU6SXNzdWU0NTczNzU4OA==,https://github.com/molgenis/molgenis/issues/2004,10/14/2014 11:07:01,Esther van Enckevort,MEMBER,female,CLOSED,1/28/2015 11:12:13,1,0,1, , ,106.003611111111, , ,106.003472222222,106.003472222222,1,REJECTED,Yes,Reproducability,No, , , , 
MDEwOlJlcG9zaXRvcnk4MDEwNjI2,MDU6SXNzdWUxMjg1Mzk4MDU=,https://github.com/molgenis/molgenis/issues/4351,1/25/2016 13:42:51, ,CONTRIBUTOR,unknown,CLOSED,1/29/2016 7:50:24,1,1,1,Tommy de boer,Tommy de boer,3.32354166666667, ,2.97152777777778,3.75486111111111,3.75486111111111,1,ACCEPTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk4MDEwNjI2,MDU6SXNzdWUxMjg1NDQwMTU=,https://github.com/molgenis/molgenis/issues/4354,1/25/2016 14:07:03,Dennis Hendriksen,CONTRIBUTOR,male,CLOSED,7/10/2017 14:48:51,3,1,3,Erwin,Erwin,523.911458333333,1.05277777777778,.986805555555556,532.028472222222,532.028472222222,1,ACCEPTED,Yes,Reproducability,No, , , , 
MDEwOlJlcG9zaXRvcnk4MDEwNjI2,MDU6SXNzdWUxOTE5NTU2Nzk=,https://github.com/molgenis/molgenis/issues/5634,11/28/2016 9:26:49, ,CONTRIBUTOR,unknown,CLOSED,11/22/2017 9:50:06,2,0,2, , ,358.272164351852,.744444444444444, ,359.015972222222,359.015972222222,1,REJECTED,No,Reproducability,No, , , , 
MDEwOlJlcG9zaXRvcnk4MDEwNjI2,MDU6SXNzdWUxOTE5NTc5MTU=,https://github.com/molgenis/molgenis/issues/5635,11/28/2016 9:36:45, ,CONTRIBUTOR,unknown,CLOSED,9/20/2017 7:28:57,2,0,2, , ,295.91125,.00208333333333333, ,295.911111111111,295.911111111111,1,REJECTED,Yes,Reproducability,No, , , , 
MDEwOlJlcG9zaXRvcnk4MDEwNjI2,MDU6SXNzdWUyNDE2NTMzMzE=,https://github.com/molgenis/molgenis/issues/6360,7/10/2017 9:33:14,Fleur Kelpin,MEMBER,female,OPEN, ,1,0,1, , ,.000740740740740741, , , ,988.601388888889,1,PENDING,Yes,Reproducability,No, , , , 
MDEwOlJlcG9zaXRvcnk4MDEwNjI2,MDU6SXNzdWUyNTA5MjM0NTk=,https://github.com/molgenis/molgenis/issues/6535,8/17/2017 12:14:28,Bart Charbon,MEMBER,male,CLOSED,11/22/2017 12:09:58,4,0,2,Sido Haakma,Sido Haakma,.118888888888889,32.2921296296296,.113888888888889,96.9965277777778,96.9965277777778,1,REJECTED,Yes,Reproducability,No, , , , 
MDEwOlJlcG9zaXRvcnk4MDM5NjU5,MDU6SXNzdWUzNzY0NjA1MDc=,https://github.com/kairosdb/kairosdb/issues/505,11/1/2018 16:09:54,Jeff Sabin,CONTRIBUTOR,male,CLOSED,12/29/2018 15:40:05,1,1,1,Jeff Sabin,Brian Hawkins,57.9792939814815, ,12.2166666666667,57.9791666666667,57.9791666666667,1,ACCEPTED,No,Documentation,No Review,No,0,0,Low
MDEwOlJlcG9zaXRvcnk5MTkxNjE=,MDU6SXNzdWU1NjU5OTg3NTI=,https://github.com/arduino/Arduino/issues/9773,2/17/2020 0:32:26,Jack Christensen,CONTRIBUTOR,male,CLOSED,2/17/2020 8:33:47,2,0,2, , ,.334270833333333,.175694444444444, ,.334027777777778,.334027777777778,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk5NjI0MjI3Nw==,MDU6SXNzdWU1MDYwNDcxMTY=,https://github.com/airsonic/airsonic/issues/1306,10/11/2019 20:37:06, ,CONTRIBUTOR,unknown,OPEN, ,1,0,1, , ,90.023125, , , ,165.140277777778,1,PENDING,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk5NjMxMjgzMg==,MDU6SXNzdWUzMDU0NTM2MDc=,https://github.com/andOTP/andOTP/issues/157,3/15/2018 8:19:03,Jakob Nixdorf,MEMBER,male,OPEN, ,1,2,1,Jakob Nixdorf,Jakob Nixdorf,.0636342592592593, ,0, ,740.652777777778,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk5NjMxMjgzMg==,MDU6SXNzdWUzNTg1MTM1OTc=,https://github.com/andOTP/andOTP/issues/226,9/10/2018 8:14:13, ,NONE,unknown,CLOSED,10/11/2018 16:07:02,10,1,5,Jakob Nixdorf,Jakob Nixdorf,31.1690625,40.6037808641975,31.3277777777778,31.3277777777778,31.3277777777778,1,REJECTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk5NjMxMjgzMg==,MDU6SXNzdWU1NDMzMjg1MDM=,https://github.com/andOTP/andOTP/issues/448,12/29/2019 6:56:36, ,NONE,unknown,CLOSED,1/13/2020 8:45:00,8,1,5,Jakob Nixdorf,Jakob Nixdorf,.0467708333333333,2.14652777777778,15.0736111111111,15.075,15.075,1,REJECTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk5NzU5NDQ4,MDU6SXNzdWUzODM0OTMzMzE=,https://github.com/apache/cloudstack/issues/3044,11/22/2018 11:26:19,Wei Zhou,CONTRIBUTOR,unknown,CLOSED,1/8/2020 16:17:36,4,0,2, , ,.000219907407407407,137.400231481481, ,412.202083333333,412.202083333333,1,ACCEPTED,Yes,Reproducability,Multiple Reviews,No,13,6,Medium
MDEwOlJlcG9zaXRvcnk5NzU5NDQ4,MDU6SXNzdWU0MDE1ODQzMDI=,https://github.com/apache/cloudstack/issues/3141,1/22/2019 3:25:31, ,NONE,unknown,OPEN, ,1,0,1, , ,372.468321759259, , , ,427.856944444444,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk5ODQ2NTc1MA==,MDU6SXNzdWU0NDEyNTAwNDU=,https://github.com/Alfresco/alfresco-repository/issues/433,5/7/2019 14:00:40, ,CONTRIBUTOR,unknown,CLOSED,6/5/2019 16:30:37,1,0,1, , ,29.1041319444444, , ,29.1034722222222,29.1034722222222,1,REJECTED,Yes,CVE,No, , , , 
MDEwOlJlcG9zaXRvcnk5ODQ2NTc1MA==,MDU6SXNzdWU0NDEyNTAxNDg=,https://github.com/Alfresco/alfresco-repository/issues/439,5/7/2019 14:00:54, ,CONTRIBUTOR,unknown,CLOSED,6/5/2019 16:31:27,1,0,1, , ,29.1045486111111, , ,29.1041666666667,29.1041666666667,1,REJECTED,Yes,CVE,No, , , , 
MDEwOlJlcG9zaXRvcnk5ODQ2NTc1MA==,MDU6SXNzdWU0NDEyNTAxNjA=,https://github.com/Alfresco/alfresco-repository/issues/440,5/7/2019 14:00:56, ,CONTRIBUTOR,unknown,CLOSED,6/5/2019 16:31:23,1,0,1, , ,29.1044791666667, , ,29.1041666666667,29.1041666666667,1,REJECTED,Yes,CVE,No, , , , 
MDEwOlJlcG9zaXRvcnkxMDM2OTQzNzc=,MDU6SXNzdWUyNzQ4Njc0ODQ=,https://github.com/OpenLiberty/open-liberty/issues/1001,11/17/2017 13:37:35,Toshi Yamamoto,CONTRIBUTOR,male,CLOSED,2/6/2018 18:40:19,2,0,1, , ,.256400462962963,80.9534722222222, ,81.2097222222222,81.2097222222222,1,ACCEPTED,No,None,Single Review,Creator,14,2,Low
MDEwOlJlcG9zaXRvcnkxMDM2OTQzNzc=,MDU6SXNzdWUyOTY4MzgxMjc=,https://github.com/OpenLiberty/open-liberty/issues/2173,2/13/2018 18:22:15,Adam Yoho,MEMBER,male,CLOSED,5/7/2018 15:51:37,1,0,1, , ,82.8953935185185, , ,82.8951388888889,82.8951388888889,1,REJECTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnkxMDM2OTQzNzc=,MDU6SXNzdWUzMDc0MDYxNTc=,https://github.com/OpenLiberty/open-liberty/issues/2787,3/21/2018 20:28:59,Toshi Yamamoto,CONTRIBUTOR,male,OPEN, ,1,0,1, , ,2.05978009259259, , , ,734.146527777778,1,PENDING,Yes,None,Single Review,Creator,8,2,Low
MDEwOlJlcG9zaXRvcnkxMDM2OTQzNzc=,MDU6SXNzdWUzMDc0MzI1NTI=,https://github.com/OpenLiberty/open-liberty/issues/2793,3/21/2018 21:56:35,Chunlong Liang,NONE,male,CLOSED,5/30/2018 19:41:57,4,2,3,Chunlong Liang,Ut Le,25.7433912037037,115.596296296296,25.7416666666667,69.90625,69.90625,1,ACCEPTED,Yes,None,Multiple Reviews,No,16,3,Medium
MDEwOlJlcG9zaXRvcnkxMDM2OTQzNzc=,MDU6SXNzdWUzMDc4MzE0MDc=,https://github.com/OpenLiberty/open-liberty/issues/2812,3/22/2018 22:04:13,Toshi Yamamoto,CONTRIBUTOR,male,CLOSED,3/24/2018 14:22:10,1,0,1, , ,1.67895833333333, , ,1.67847222222222,1.67847222222222,1,REJECTED,No,None,Single Review,Creator,6,2,Low
MDEwOlJlcG9zaXRvcnkxMDM2OTQzNzc=,MDU6SXNzdWUzMTI3MjQ4Mjk=,https://github.com/OpenLiberty/open-liberty/issues/3036,4/9/2018 23:40:34, ,MEMBER,unknown,CLOSED,4/10/2018 20:13:18,1,1,1, , ,.856064814814815, ,0,.855555555555556,.855555555555556,1,ACCEPTED,Yes,None,Single Review,Creator,5,2,Low
MDEwOlJlcG9zaXRvcnkxMDM2OTQzNzc=,MDU6SXNzdWUzMTk2NTgxNTI=,https://github.com/OpenLiberty/open-liberty/issues/3404,5/2/2018 18:13:29,Adam Yoho,MEMBER,male,CLOSED,5/7/2018 15:34:03,1,2,1,Adam Yoho,Bruce Tiffany,4.88928240740741, ,0,4.88888888888889,4.88888888888889,1,ACCEPTED,Yes,Documentation,Multiple Reviews,Reviewer,17,3,High
MDEwOlJlcG9zaXRvcnkxMDM2OTQzNzc=,MDU6SXNzdWUzMjgxNTc5MzA=,https://github.com/OpenLiberty/open-liberty/issues/3799,5/31/2018 14:17:58,Toshi Yamamoto,CONTRIBUTOR,male,OPEN, ,1,0,1, , ,.347916666666667, , , ,663.404166666667,1,PENDING,Yes,None,Multiple Reviews,Creator,5,2,Low
MDEwOlJlcG9zaXRvcnkxMDM2OTQzNzc=,MDU6SXNzdWUzMzU1NzQ5Mjg=,https://github.com/OpenLiberty/open-liberty/issues/4113,6/25/2018 21:29:31,Chunlong Liang,NONE,male,CLOSED,7/2/2018 19:02:53,1,1,1,Chunlong Liang,Chunlong Liang,6.89763888888889, ,0,6.89791666666667,6.89791666666667,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnkxMDM2OTQzNzc=,MDU6SXNzdWUzODEzMjI2ODQ=,https://github.com/OpenLiberty/open-liberty/issues/5785,11/15/2018 20:16:33,David Burdine,CONTRIBUTOR,male,CLOSED,10/3/2019 16:43:43,5,2,2,David Burdine,David Burdine,.000752314814814815,80.4626736111111,0,321.852083333333,321.852083333333,1,ACCEPTED,Yes,None,Multiple Reviews,Creator,4,3,Low
MDEwOlJlcG9zaXRvcnkxMDM2OTQzNzc=,MDU6SXNzdWUzODk5MjE0OTU=,https://github.com/OpenLiberty/open-liberty/issues/6002,12/11/2018 19:38:20, ,MEMBER,unknown,CLOSED,12/11/2018 19:43:38,3,1,1, , ,.000150462962962963,21.03125,0,.00347222222222222,.00347222222222222,1,ACCEPTED,Yes,None,Single Review,No,7,2,Low
MDEwOlJlcG9zaXRvcnkxMDM2OTQzNzc=,MDU6SXNzdWU0MjU2Njk2NDA=,https://github.com/OpenLiberty/open-liberty/issues/7037,3/26/2019 22:03:59,Christopher Jackson,NONE,male,CLOSED,8/15/2019 13:27:50,3,1,2,Ut Le,Ut Le,47.7950347222222,22.9729166666667,35.6708333333333,141.640972222222,141.640972222222,1,ACCEPTED,Yes,Reproducability,Single Review,No,5,2,Low
